"time_durations.thisRepN","time_durations.thisTrialN","time_durations.thisN","time_durations.thisIndex","welcomeText.started","welcomeText.stopped","welcomeResp.keys","welcomeResp.rt","welcomeResp.started","welcomeResp.stopped","firstImg.started","firstImg.stopped","blackImg1.started","blackImg1.stopped","secondImg.started","secondImg.stopped","blackImg2.started","blackImg2.stopped","responseImg.started","responseImg.stopped",,"choice.rt","choice.started","choice.stopped","responseText.started","responseText.stopped","responseRepeat.keys","responseRepeat.rt","responseRepeat.started","choice.keys","t1","t2","t_differences","Minimum_relative_distance","endText.started","endText.stopped","participant","session","date","expName","psychopyVersion","frameRate"
,,,,3.29711623399999,"None","space",0.592710533000172,3.29711623399999,"None",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
0,0,0,0,,,,,,,3.91648625299968,"None",7.93029055699935,"None",8.84746290099974,"None",14.4643070359998,"None",15.4791309799994,"None",,0.997121946999869,15.4791309799994,"None",16.5153846879994,"None","space",2.19460592899941,16.5153846879994,1,4,5.6,1.6,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
1,0,1,0,,,,,,,18.7587290490001,"None",21.9662861759998,"None",22.8828784279995,"None",29.301559343,"None",30.3193772909999,"None",,0.926898200999858,30.3193772909999,"None",31.2882607410002,"None","space",9.99344156400002,31.2882607410002,2,3.2,6.4,3.2,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
2,0,2,0,,,,,,,41.341200541,"None",47.3553770479994,"None",48.272934998,"None",51.8923525479995,"None",52.9070744569999,"None",,4.39641550800025,52.9070744569999,"None",57.3514734330001,"None","space",6.97006995499942,57.3514734330001,2,6,3.6,2.4,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
3,0,3,0,,,,,,,64.3821995409999,"None",69.1947168520001,"None",70.1133759169998,"None",74.9295532239994,"None",75.9429586169999,"None",,1.33268409799985,75.9429586169999,"None",77.3254997869999,"None","space",1.31702863300052,77.3254997869999,1,4.8,4.8,0,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
4,0,4,0,,,,,,,78.7026327639997,"None",83.0154752459994,"None",83.9321112589996,"None",89.5501503529995,"None",90.5669705049995,"None",,0.545860080999773,90.5669705049995,"None",91.1597807749995,"None","space",12.1890539619999,91.1597807749995,1,4.3,5.6,1.3,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
5,0,5,0,,,,,,,103.410949954,"None",106.316360523,"None",107.22455429,"None",113.644515528999,"None",114.659749953999,"None",,0.525818967000305,114.659749953999,"None",115.233735545,"None","space",1.86924979000014,115.233735545,1,2.9,6.4,3.5,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
6,0,6,0,,,,,,,117.161796202,"None",123.477502216,"None",124.39247191,"None",128.010270465,"None",129.027454321,"None",,0.478774879000412,129.027454321,"None",129.553763793,"None","space",8.90562888299974,129.553763793,1,6.3,3.6,2.7,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
7,0,7,0,,,,,,,138.522618079,"None",143.033167492999,"None",143.948228970999,"None",148.766360118,"None",149.782999063,"None",,1.47903092499928,149.782999063,"None",151.308949609,"None","space",1.38797572499971,151.308949609,1,4.5,4.8,0.3,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
8,0,8,0,,,,,,,152.75732188,"None",157.368419429999,"None",158.285110481,"None",163.903610918,"None",164.920451731,"None",,5.83045024300009,164.920451731,"None",170.799671955,"None","space",29.2208696799999,170.799671955,1,4.6,5.6,1,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
9,0,9,0,,,,,,,200.113031067,"None",203.331446118999,"None",204.247863391,"None",210.666537826,"None",211.682163504,"None",,4.74739166600011,211.682163504,"None",216.473109488999,"None","space",1.57456090100004,216.473109488999,2,3.2,6.4,3.2,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
10,0,10,0,,,,,,,218.100262389999,"None",224.120121671,"None",225.036446289,"None",228.655194922,"None",229.671117819,"None",,3.72989851999955,229.671117819,"None",233.44310488,"None","space",7.39385931800007,233.44310488,1,6,3.6,2.4,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
11,0,11,0,,,,,,,240.891689966999,"None",245.710830473,"None",246.626752808,"None",251.444654950999,"None",252.461561569999,"None",,15.5323587390003,252.461561569999,"None",268.043577099,"None","space",3.98499301300035,268.043577099,2,4.8,4.8,0,,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
12,0,12,0,,,,,,,272.089614797,"None",277.002287171,"None",277.918650543999,"None",283.537219698,"None",284.553446149,"None",,55.2931636630001,284.553446149,"None",339.890208506999,"None","space",9.44130211799984,339.890208506999,1,4.9,5.6,0.7,0,,,,1,"2021_мар_11_1500","time_perception","2020.2.10",59.8931412927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.348584034999,"None",,,,,,
